start time,start time ISO,start time timezone,start time offset,end time,end time ISO,end time timezone,end time offset,type,actual seconds,steps,calories,minutes,heart rate avg,heart rate min,heart rate max,state,version,id
4/23/16 15:09,2016-04-23T15:09:43Z,America/New_York,-240,4/23/16 15:16,2016-04-23T15:16:29Z,America/New_York,-240,walk,293,608,22.60000038,6.766666667,116.9112625,,,complete,1,walk__2016-04-23T150943
4/23/16 15:46,2016-04-23T15:46:35Z,America/New_York,-240,4/23/16 16:02,2016-04-23T16:02:08Z,America/New_York,-240,walk,894,1747,92.30000305,15.55,126.3411636,,,complete,1,walk__2016-04-23T154635
4/23/16 16:50,2016-04-23T16:50:04Z,America/New_York,-240,4/23/16 16:59,2016-04-23T16:59:24Z,America/New_York,-240,walk,185,317,8,9.333333333,107.3783798,,,complete,1,walk__2016-04-23T165004
4/23/16 17:41,2016-04-23T17:41:10Z,America/New_York,-240,4/23/16 18:01,2016-04-23T18:01:47Z,America/New_York,-240,walk,917,1767,67.80000305,20.61666667,115.9901886,,,complete,1,walk__2016-04-23T174110
4/23/16 18:23,2016-04-23T18:23:15Z,America/New_York,-240,4/23/16 18:33,2016-04-23T18:33:53Z,America/New_York,-240,walk,379,777,30.10000038,10.63333333,112.570694,,,complete,1,walk__2016-04-23T182315
4/23/16 18:51,2016-04-23T18:51:40Z,America/New_York,-240,4/23/16 18:57,2016-04-23T18:57:28Z,America/New_York,-240,walk,298,586,14.19999981,5.8,104.2449646,,,complete,1,walk__2016-04-23T185140
4/23/16 22:24,2016-04-23T22:24:10Z,America/New_York,-240,4/23/16 22:35,2016-04-23T22:35:50Z,America/New_York,-240,walk,286,562,24.60000038,11.66666667,115.9615402,,,complete,1,walk__2016-04-23T222410
4/23/16 22:43,2016-04-23T22:43:46Z,America/New_York,-240,4/23/16 22:57,2016-04-23T22:57:14Z,America/New_York,-240,walk,659,1285,67,13.46666667,123.2625198,,,complete,1,walk__2016-04-23T224346
4/23/16 23:33,2016-04-23T23:33:18Z,America/New_York,-240,4/23/16 23:40,2016-04-23T23:40:05Z,America/New_York,-240,walk,391,823,45.09999847,6.783333333,125.3478241,,,complete,1,walk__2016-04-23T233318
4/23/16 23:52,2016-04-23T23:52:15Z,America/New_York,-240,4/23/16 23:57,2016-04-23T23:57:42Z,America/New_York,-240,walk,247,490,33,5.45,139.530365,,,complete,1,walk__2016-04-23T235215
4/24/16 17:32,2016-04-24T17:32:55Z,America/New_York,-240,4/24/16 17:38,2016-04-24T17:38:43Z,America/New_York,-240,walk,256,511,21.70000076,5.8,121.2695313,,,complete,1,walk__2016-04-24T173255
4/24/16 23:04,2016-04-24T23:04:02Z,America/New_York,-240,4/24/16 23:15,2016-04-24T23:15:35Z,America/New_York,-240,walk,532,1140,38.59999847,11.55,115.3533859,,,complete,1,walk__2016-04-24T230402
4/24/16 23:31,2016-04-24T23:31:49Z,America/New_York,-240,4/24/16 23:42,2016-04-24T23:42:19Z,America/New_York,-240,walk,478,890,33.59999847,10.5,113.8556519,,,complete,1,walk__2016-04-24T233149
4/24/16 23:44,2016-04-24T23:44:41Z,America/New_York,-240,4/24/16 23:57,2016-04-24T23:57:41Z,America/New_York,-240,walk,432,848,32,13,113.8495407,,,complete,1,walk__2016-04-24T234441
4/25/16 13:10,2016-04-25T13:10:45Z,America/New_York,-240,4/25/16 13:14,2016-04-25T13:14:15Z,America/New_York,-240,bike,210,,5.800000191,3.5,90.80476379,,,complete,1,bike__2016-04-25T131045
4/25/16 13:18,2016-04-25T13:18:09Z,America/New_York,-240,4/25/16 13:28,2016-04-25T13:28:50Z,America/New_York,-240,walk,420,901,46.29999924,10.68333333,125.1565399,,,complete,1,walk__2016-04-25T131809
4/25/16 13:40,2016-04-25T13:40:31Z,America/New_York,-240,4/25/16 13:47,2016-04-25T13:47:39Z,America/New_York,-240,walk,290,639,36.29999924,7.133333333,132.0960236,,,complete,1,walk__2016-04-25T134031
4/25/16 15:46,2016-04-25T15:46:30Z,America/New_York,-240,4/25/16 15:53,2016-04-25T15:53:11Z,America/New_York,-240,walk,200,382,16.20000076,6.683333333,118.7300034,,,complete,1,walk__2016-04-25T154630
4/25/16 15:57,2016-04-25T15:57:26Z,America/New_York,-240,4/25/16 16:06,2016-04-25T16:06:23Z,America/New_York,-240,walk,193,296,6.5,8.95,99.86010742,,,complete,1,walk__2016-04-25T155726
4/25/16 19:31,2016-04-25T19:31:31Z,America/New_York,-240,4/25/16 19:43,2016-04-25T19:43:28Z,America/New_York,-240,walk,402,724,32.40000153,11.95,116.0022964,,,complete,1,walk__2016-04-25T193131
4/25/16 20:44,2016-04-25T20:44:24Z,America/New_York,-240,4/25/16 20:53,2016-04-25T20:53:16Z,America/New_York,-240,walk,348,728,26.29999924,8.866666667,111.1494217,,,complete,1,walk__2016-04-25T204424
