start time,start time ISO,start time timezone,start time offset,end time,end time ISO,end time timezone,end time offset,light mins,deep mins,rem mins,interruption mins,unknown mins,interruptions,toss turns,type,actual seconds,calories,heart rate avg,heart rate min,heart rate max,state,version,id
4/24/16 5:15,2016-04-24T05:15:51Z,America/New_York,-240,4/24/16 12:35,2016-04-24T12:35:22Z,America/New_York,-240,204,96,127,10,0,1,27,sleep,25740,442.6000061,71.49538422,,,complete,2,sleep__2016-04-24T051551
4/25/16 5:20,2016-04-25T05:20:10Z,America/New_York,-240,4/25/16 11:49,2016-04-25T11:49:10Z,America/New_York,-240,167,113,108,0,0,0,29,sleep,23340,401.2999878,68.09471893,,,complete,2,sleep__2016-04-25T052010
4/26/16 5:26,2016-04-26T05:26:30Z,America/New_York,-240,4/26/16 11:45,2016-04-26T11:45:30Z,America/New_York,-240,185,93,100,0,0,0,23,sleep,22740,390.8999939,68.64457703,,,complete,2,sleep__2016-04-26T052630
