start time,start time ISO,start time timezone,start time offset,end time,end time ISO,end time timezone,end time offset,type,actual seconds,steps,calories,minutes,heart rate avg,heart rate min,heart rate max,state,version,id
4/23/16 15:09,2016-04-23T15:09:43Z,America/New_York,-240,4/23/16 15:16,2016-04-23T15:16:29Z,America/New_York,-240,walk,293,608,22.60000038,6.766666667,116.9112625,,,complete,1,walk__2016-04-23T150943
4/23/16 15:46,2016-04-23T15:46:35Z,America/New_York,-240,4/23/16 16:02,2016-04-23T16:02:08Z,America/New_York,-240,walk,894,1747,92.30000305,15.55,126.3411636,,,complete,1,walk__2016-04-23T154635
4/23/16 16:50,2016-04-23T16:50:04Z,America/New_York,-240,4/23/16 16:59,2016-04-23T16:59:24Z,America/New_York,-240,walk,185,317,8,9.333333333,107.3783798,,,complete,1,walk__2016-04-23T165004
4/23/16 17:41,2016-04-23T17:41:10Z,America/New_York,-240,4/23/16 18:01,2016-04-23T18:01:47Z,America/New_York,-240,walk,917,1767,67.80000305,20.61666667,115.9901886,,,complete,1,walk__2016-04-23T174110
4/23/16 18:23,2016-04-23T18:23:15Z,America/New_York,-240,4/23/16 18:33,2016-04-23T18:33:53Z,America/New_York,-240,walk,379,777,30.10000038,10.63333333,112.570694,,,complete,1,walk__2016-04-23T182315
4/23/16 18:51,2016-04-23T18:51:40Z,America/New_York,-240,4/23/16 18:57,2016-04-23T18:57:28Z,America/New_York,-240,walk,298,586,14.19999981,5.8,104.2449646,,,complete,1,walk__2016-04-23T185140
4/23/16 22:24,2016-04-23T22:24:10Z,America/New_York,-240,4/23/16 22:35,2016-04-23T22:35:50Z,America/New_York,-240,walk,286,562,24.60000038,11.66666667,115.9615402,,,complete,1,walk__2016-04-23T222410
4/23/16 22:43,2016-04-23T22:43:46Z,America/New_York,-240,4/23/16 22:57,2016-04-23T22:57:14Z,America/New_York,-240,walk,659,1285,67,13.46666667,123.2625198,,,complete,1,walk__2016-04-23T224346
4/23/16 23:33,2016-04-23T23:33:18Z,America/New_York,-240,4/23/16 23:40,2016-04-23T23:40:05Z,America/New_York,-240,walk,391,823,45.09999847,6.783333333,125.3478241,,,complete,1,walk__2016-04-23T233318
4/23/16 23:52,2016-04-23T23:52:15Z,America/New_York,-240,4/23/16 23:57,2016-04-23T23:57:42Z,America/New_York,-240,walk,247,490,33,5.45,139.530365,,,complete,1,walk__2016-04-23T235215
